candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,
CAND_0081846,2,0.908558,
CAND_0077337,3,0.887198,
CAND_0046525,4,0.885785,
CAND_0050454,5,0.883969,
CAND_0064326,6,0.883559,
CAND_0068811,7,0.839096,
CAND_0042506,8,0.812907,
CAND_0005509,9,0.812054,
CAND_0068932,10,0.759817,
CAND_0086022,11,0.754419,
CAND_0053605,12,0.73969,
CAND_0037566,13,0.721274,
CAND_0004402,14,0.712843,
CAND_0061257,15,0.709966,
CAND_0062247,16,0.709821,
CAND_0021410,17,0.697968,
CAND_0043860,18,0.691754,
CAND_0000031,19,0.688139,
CAND_0006567,20,0.683192,
CAND_0027691,21,0.680077,
CAND_0066376,22,0.675199,
CAND_0075574,23,0.673013,
CAND_0081852,24,0.671746,
CAND_0007009,25,0.66954,
CAND_0099806,26,0.668574,
CAND_0041669,27,0.661474,
CAND_0054394,28,0.653798,
CAND_0017093,29,0.649124,
CAND_0073007,30,0.647288,
CAND_0051004,31,0.645474,
CAND_0092255,32,0.643257,
CAND_0091909,33,0.642,
CAND_0026942,34,0.641218,
CAND_0096104,35,0.62434,
CAND_0083879,36,0.619799,
CAND_0010149,37,0.615776,
CAND_0070525,38,0.614953,
CAND_0082086,39,0.614039,
CAND_0097176,40,0.61353,
CAND_0046132,41,0.611424,
CAND_0030468,42,0.608004,
CAND_0054123,43,0.606903,
CAND_0012888,44,0.60642,
CAND_0037980,45,0.606141,
CAND_0041610,46,0.598791,
CAND_0033179,47,0.594507,
CAND_0006418,48,0.591419,
CAND_0030348,49,0.59073,
CAND_0008295,50,0.586496,
CAND_0017960,51,0.584049,
CAND_0010603,52,0.581581,
CAND_0073504,53,0.579036,
CAND_0018549,54,0.576021,
CAND_0019288,55,0.57563,
CAND_0060054,56,0.572051,
CAND_0007596,57,0.568933,
CAND_0037160,58,0.566848,
CAND_0026362,59,0.565778,
CAND_0069905,60,0.564578,
CAND_0098846,61,0.563277,
CAND_0091580,62,0.561556,
CAND_0098217,63,0.560513,
CAND_0039383,64,0.557521,
CAND_0066999,65,0.555726,
CAND_0029367,66,0.5472,
CAND_0072688,67,0.539637,
CAND_0011327,68,0.539516,
CAND_0049896,69,0.53402,
CAND_0005649,70,0.53388,
CAND_0048558,71,0.532732,
CAND_0098952,72,0.530331,
CAND_0081053,73,0.522559,
CAND_0011687,74,0.520548,
CAND_0043637,75,0.520502,
CAND_0074123,76,0.517206,
CAND_0015967,77,0.51702,
CAND_0010541,78,0.51606,
CAND_0005311,79,0.508562,
CAND_0066690,80,0.507485,
CAND_0078492,81,0.50703,
CAND_0083852,82,0.503956,
CAND_0005260,83,0.503723,
CAND_0091745,84,0.503037,
CAND_0002025,85,0.50069,
CAND_0000273,86,0.500203,
CAND_0085851,87,0.496725,
CAND_0057563,88,0.496131,
CAND_0062413,89,0.487579,
CAND_0093193,90,0.480885,
CAND_0046064,91,0.478242,
CAND_0031593,92,0.477081,
CAND_0079387,93,0.476319,
CAND_0097567,94,0.475685,
CAND_0065430,95,0.475666,
CAND_0013393,96,0.474018,
CAND_0052328,97,0.473668,
CAND_0072232,98,0.472264,
CAND_0020877,99,0.470121,
CAND_0017178,100,0.468302,
